,Cod_setor,IDHL-Setor,AlfabIDHM
0,270010205000001,0.7333333333333333,0.8320838139177239
1,270010205000002,0.7,0.8569209435044068
2,270010205000003,0.6166666666666667,0.9017848963801766
3,270010205000004,0.75,0.8291056910569106
4,270010205000005,0.7,0.7262522974101921
5,270010205000006,0.7333333333333333,0.7747531704366236
6,270010205000007,0.6166666666666667,0.8047138047138046
7,270010205000008,0.5666666666666667,0.6019607843137255
8,270010205000009,0.7,0.7231616581312204
9,270010205000010,0.6833333333333333,0.617345052925117
10,270010205000011,0.7333333333333333,0.7548189554662046
11,270010205000012,0.7333333333333333,0.8779117707689137
12,270010205000013,0.65,0.639563266302409
13,270010205000014,0.6833333333333333,0.7892029839026306
14,270010205000015,0.8833333333333333,0.977124183006536
15,270010205000016,0.8,0.854775828460039
16,270010205000017,0.7333333333333333,0.6928721537779321
17,270010205000018,0.6666666666666666,0.6722659368228988
18,270010205000019,0.65,0.629803735359291
19,270010205000020,0.7166666666666667,0.8598716435009294
20,270010205000021,0.8,0.853730744141703
21,270010205000022,0.7,0.7498743086978381
22,270010205000023,0.6833333333333333,0.7532599533938221
23,270030005000001,0.8333333333333334,0.9359538784067086
24,270030005000002,0.9333333333333333,0.9367121507472383
25,270030005000003,0.9,0.9474206349206349
26,270030005000004,0.9,0.895355673133451
27,270030005000005,0.9666666666666667,0.968521641371557
28,270030005000006,0.8166666666666667,0.9393709221930081
29,270030005000007,0.8833333333333333,0.9585280619763378
30,270030005000008,0.7,0.9120474628949206
31,270030005000009,0.75,0.8951017491404832
32,270030005000010,0.6833333333333333,0.8683348278954267
33,270030005000011,0.7166666666666667,0.7262067683781912
34,270030005000012,0.75,0.8429774778229415
35,270030005000013,0.7166666666666667,0.8671480705023682
36,270030005000014,0.7833333333333333,0.9526666666666667
37,270030005000015,0.7666666666666667,0.8899091004623791
38,270030005000016,0.8,0.8693604118186306
39,270030005000017,0.75,0.802733497237423
40,270030005000018,0.8,0.8042691832378385
41,270030005000019,0.7666666666666667,0.8172311348781937
42,270030005000020,0.7666666666666667,0.812807881773399
43,270030005000021,0.8166666666666667,0.951017338995046
44,270030005000022,0.8333333333333334,0.8244880112501626
45,270030005000023,0.8833333333333333,0.9282717723874713
46,270030005000024,0.8,0.9409763430651159
47,270030005000025,0.8666666666666667,0.9116236024659292
48,270030005000026,0.8,0.8449269080240981
49,270030005000027,0.65,0.9165030032241699
50,270030005000028,0.6,0.9194712864519845
51,270030005000029,0.8,0.9270683137835626
52,270030005000030,0.6833333333333333,0.880561912026443
53,270030005000031,0.7166666666666667,0.8020050738647023
54,270030005000032,0.7166666666666667,0.8277290944908634
55,270030005000033,0.7666666666666667,0.7719581927259093
56,270030005000034,0.7833333333333333,0.9022242265942587
57,270030005000035,0.75,0.9437856829161176
58,270030005000036,0.8833333333333333,0.8764629221022208
59,270030005000037,0.8,0.8912266595193424
60,270030005000038,0.8333333333333334,0.9033526255208081
61,270030005000039,0.8,0.9277966243665451
62,270030005000040,0.8166666666666667,0.9385138563220755
63,270030005000041,0.8333333333333334,0.9636803874092009
64,270030005000042,0.8166666666666667,0.9203499967831178
65,270030005000043,0.7333333333333333,0.8596628432394855
66,270030005000044,0.7333333333333333,0.9122918349294258
67,270030005000045,0.7166666666666667,0.9310441880101322
68,270030005000046,0.6833333333333333,0.8733251332513325
69,270030005000047,0.75,0.8592160163970427
70,270030005000048,0.8,0.7804484329102325
71,270030005000049,0.7333333333333333,0.7341269067746135
72,270030005000050,0.7166666666666667,0.6934401288705924
73,270030005000051,0.6833333333333333,0.908185611437644
74,270030005000052,0.75,0.8973770491803279
75,270030005000053,0.7333333333333333,0.8389078090458266
76,270030005000054,0.65,0.9181333048783147
77,270030005000055,0.75,0.8383255165933594
78,270030005000056,0.7333333333333333,0.8116520285866219
79,270030005000057,0.7166666666666667,0.9405509847918224
80,270030005000058,0.7333333333333333,0.9191922608578
81,270030005000059,0.75,0.9498443391060841
82,270030005000060,0.8,0.9556210940242961
83,270030005000061,0.9,0.9642594859241127
84,270030005000062,0.85,0.9201238576238576
85,270030005000063,0.8333333333333334,0.9066885066885068
86,270030005000064,0.8666666666666667,0.9311007926457483
87,270030005000065,0.85,0.9136822773186409
88,270030005000066,0.8666666666666667,0.9053409632808774
89,270030005000067,0.8333333333333334,0.9232775320207014
90,270030005000068,0.8166666666666667,0.9143441160247883
91,270030005000069,0.7333333333333333,0.881739785483101
92,270030005000070,0.8,0.9013203786746388
93,270030005000071,0.7166666666666667,0.9036198949166746
